epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
53,27.275,0.98681,0.78172,1.39496,0.0545,0.80829,0.59958,0.62028,0.45135,0.86041,0.70939,1.0698,0.04374,0.000505079,0.000505079,0.000505079
54,27.6875,1.06609,0.78685,1.36924,0.05766,0.81852,0.60322,0.62133,0.44745,0.86453,0.70917,1.06115,0.04442,0.000500004,0.000500004,0.000500004
55,28.0837,0.97587,0.74686,1.31966,0.0476,0.95031,0.54513,0.62262,0.44768,0.86647,0.7105,1.05799,0.0439,0.000494928,0.000494928,0.000494928
56,28.4869,0.97294,0.73958,1.36653,0.06072,0.95331,0.56713,0.66341,0.48009,0.87164,0.70538,1.06223,0.04541,0.000489853,0.000489853,0.000489853
57,29.3825,0.95715,0.72857,1.30844,0.06252,0.95446,0.56977,0.65687,0.48021,0.85749,0.69518,1.05989,0.04411,0.000484778,0.000484778,0.000484778
58,29.7992,0.98328,0.76071,1.32154,0.0547,0.95287,0.56558,0.66403,0.4906,0.84499,0.68434,1.05701,0.04232,0.000479702,0.000479702,0.000479702
59,30.2137,0.99446,0.7539,1.31801,0.05631,0.82012,0.60652,0.67958,0.50825,0.838,0.67859,1.05947,0.04294,0.000474627,0.000474627,0.000474627
60,30.6318,1.01155,0.76846,1.26519,0.05186,0.70456,0.65674,0.70569,0.53226,0.81642,0.67328,1.06639,0.04274,0.000469551,0.000469551,0.000469551
61,31.0454,0.98916,0.74344,1.34923,0.06089,0.73547,0.69783,0.71664,0.5467,0.80489,0.66762,1.06465,0.04215,0.000464476,0.000464476,0.000464476
62,31.4539,0.93134,0.70983,1.37596,0.05218,0.76616,0.72789,0.73377,0.5641,0.80019,0.66432,1.0575,0.04104,0.000459401,0.000459401,0.000459401
63,31.8793,0.97464,0.74797,1.31225,0.05381,0.77897,0.7348,0.73959,0.56869,0.79826,0.66125,1.05322,0.04027,0.000454325,0.000454325,0.000454325
64,33.0629,0.95637,0.72352,1.37767,0.06046,0.7542,0.7464,0.74574,0.56315,0.81793,0.6576,1.04037,0.04188,0.00044925,0.00044925,0.00044925
65,33.4685,1.02521,0.75579,1.30992,0.05343,0.75774,0.74884,0.74187,0.56055,0.8215,0.65543,1.03701,0.04376,0.000444174,0.000444174,0.000444174
66,33.8911,1.03812,0.75946,1.33304,0.05645,0.76319,0.74845,0.7428,0.56152,0.81206,0.65198,1.03418,0.04523,0.000439099,0.000439099,0.000439099
67,34.313,1.00745,0.75289,1.35332,0.05917,0.77311,0.74576,0.74775,0.56696,0.80105,0.64779,1.03039,0.04608,0.000434024,0.000434024,0.000434024
68,34.7378,0.93048,0.71633,1.29165,0.0521,0.78751,0.7628,0.76253,0.57849,0.78994,0.64698,1.0338,0.0447,0.000428948,0.000428948,0.000428948
69,35.1652,0.9649,0.73868,1.27819,0.04692,0.77073,0.76895,0.76506,0.57809,0.7872,0.64752,1.0358,0.0432,0.000423873,0.000423873,0.000423873
70,35.5659,0.9813,0.72666,1.37245,0.05198,0.7558,0.76965,0.77218,0.58744,0.79203,0.65092,1.03142,0.04301,0.000418797,0.000418797,0.000418797
71,35.9886,0.9784,0.7296,1.31466,0.05162,0.7499,0.77347,0.76907,0.57889,0.80373,0.65652,1.02655,0.0413,0.000413722,0.000413722,0.000413722
72,36.7006,0.92024,0.69595,1.31157,0.0447,0.72565,0.76538,0.76615,0.57886,0.81289,0.6631,1.01864,0.04053,0.000408647,0.000408647,0.000408647
73,37.0976,0.96075,0.71901,1.3037,0.05197,0.73888,0.76394,0.77092,0.58373,0.81246,0.66064,1.0153,0.0401,0.000403571,0.000403571,0.000403571
74,37.4974,0.93018,0.69066,1.31273,0.04843,0.74628,0.75736,0.77433,0.59058,0.8079,0.65412,1.01106,0.03951,0.000398496,0.000398496,0.000398496
75,37.9121,0.9477,0.70417,1.26484,0.04904,0.76681,0.7566,0.77881,0.59868,0.803,0.64859,1.007,0.03905,0.00039342,0.00039342,0.00039342
76,38.3322,0.95064,0.70147,1.30039,0.04527,0.78713,0.75819,0.78217,0.59912,0.80006,0.64053,1.00806,0.0408,0.000388345,0.000388345,0.000388345
77,38.7458,0.92432,0.68667,1.29416,0.0441,0.81087,0.77021,0.79379,0.60449,0.80246,0.63773,1.01181,0.04087,0.00038327,0.00038327,0.00038327
78,39.1605,0.91262,0.68287,1.30647,0.04532,0.78993,0.76763,0.79096,0.60997,0.79861,0.635,1.00966,0.04005,0.000378194,0.000378194,0.000378194
79,40.3336,0.89176,0.66475,1.31924,0.04554,0.80395,0.78086,0.79566,0.61379,0.78859,0.63319,1.00198,0.03927,0.000373119,0.000373119,0.000373119
80,40.751,0.92902,0.68881,1.28355,0.05093,0.82368,0.78524,0.7988,0.61346,0.78017,0.63059,0.99122,0.03927,0.000368043,0.000368043,0.000368043
